Name,Date_Birth,Date_Start_PM,Age_Start_PM,Date_End_PM,Age_End_PM,Date_Death,Age_Death,Party
George Canning,1770-04-11,1827-04-10,56.9950101644798,1827-08-08,57.3235590053184,1827-08-08,57.3235590053184,TORY
Frederick Robinson,1782-11-01,1827-08-31,44.8277514254228,1828-01-21,45.2192721274222,1859-01-28,76.239758516602,TORY
Arthur Wellesley,1769-05-01,1828-01-22,58.7253673928965,1834-12-10,65.6084656084656,1852-09-14,83.372006269807,TORY
Charles Grey,1764-03-13,1830-11-22,66.6926767832331,1834-07-16,70.3395689165418,1845-07-17,81.3432171776286,WHIG
William Lamb,1779-03-15,1834-07-16,55.3358385182447,1841-08-30,62.4598725504288,1848-11-24,69.6961607698994,WHIG
Robert Peel,1788-02-05,1834-12-10,46.8428509825664,1846-06-29,58.3940806450509,1850-07-02,62.4023765032821,CON
John Russell,1792-08-18,1846-06-30,53.8628445484849,1866-06-28,73.857779420522,1878-05-28,85.773150714936,LIB
Edward Smith-Stanley,1799-03-29,1852-02-23,52.9045770960389,1868-02-27,68.9158572729077,1869-10-23,70.5695531051288,CON
George Hamilton-Gordon,1784-01-28,1852-12-19,68.8912161098448,1855-01-30,71.00488031924,1860-12-14,76.8776908492303,WHIG
Henry Temple,1784-10-20,1855-02-06,70.2957624044299,1865-10-18,80.992765080734,1865-10-18,80.992765080734,WHIG
Benjamin Disraeli,1804-12-21,1868-02-27,63.1854179072808,1880-04-21,75.3335112972888,1881-04-19,76.3273715408256,CON
William Ewart Gladstone,1809-12-29,1868-12-03,58.9307104184206,1894-03-02,84.1742130228547,1898-05-19,88.38785190661,LIB
Robert Cecil,1830-02-03,1885-06-23,55.3851208443705,1902-07-11,72.431329869881,1903-08-22,73.5456580217253,CON
Archibald Primrose,1847-05-07,1894-03-05,46.8291614475314,1895-06-22,48.126929368844,1929-05-21,82.0386455574036,LIB
Arthur Balfour,1848-07-25,1902-07-11,53.9586712937295,1905-12-05,57.3618897034162,1930-03-19,81.6471248554043,CON
Henry Campbell-Bannerman,1836-09-07,1905-12-05,69.2416682067394,1908-04-03,71.5688891626796,1908-04-22,71.6209093958124,LIB
Herbert Asquith,1852-09-12,1908-04-05,55.5603468928178,1916-12-05,64.2285604769434,1928-02-15,75.4238622285194,LIB
David Lloyd George,1863-01-17,1916-12-07,53.8874857115478,1922-10-22,59.7602962415382,1945-03-26,82.186492535781,LIB
Bonar Law,1858-09-16,1922-10-23,64.0998788476149,1923-05-22,64.6775772260895,1923-10-30,65.1183802542147,CON
Stanley Baldwin,1867-08-03,1923-05-23,55.8012827094328,1937-05-28,69.8166286782069,1947-12-14,80.3630464691267,CON
Ramsay MacDonald,1866-10-12,1924-01-22,57.2770145861996,1935-06-07,68.6502802932298,1937-11-09,71.0760659014217,LAB
Neville Chamberlain,1869-03-18,1937-05-28,68.1930498230628,1940-05-10,71.1445135765964,1940-11-09,71.6455505588753,CON
Winston Churchill,1874-11-30,1940-05-10,65.4414532810393,1955-04-07,80.3493569340917,1965-01-24,90.1510640191106,CON
Clement Attlee,1883-01-03,1945-07-26,62.5584372026804,1951-10-26,68.8090788996352,1967-10-08,84.7601251223502,LAB
Anthony Eden,1897-06-12,1955-04-07,57.8163822665763,1957-01-10,59.5795943790769,1977-01-14,79.5909566931559,CON
Harold Macmillan,1894-02-10,1957-01-10,62.9143651135889,1963-10-18,69.6824712348645,1986-12-29,92.8807573050781,CON
Alec Douglas-Home,1903-07-02,1963-10-19,60.2996639219149,1964-10-16,61.2935241654517,1995-10-09,92.2729419495267,CON
Harold Wilson,1916-03-11,1964-10-16,48.600587281053,1976-04-05,60.0696797333279,1995-05-24,79.2021738981636,LAB
Edward Heath,1916-07-09,1970-06-19,53.9449817586946,1974-03-04,57.652107846157,2005-07-17,89.0230463322313,CON
James Callaghan,1912-03-27,1976-04-05,64.0259553584262,1979-05-04,67.1033628342813,2005-03-26,92.9984873063786,LAB
Margaret Thatcher,1925-10-13,1979-05-04,53.5561989637022,1990-11-28,65.1265939752356,2013-04-08,87.4870805013108,CON
John Major,1943-03-29,1990-11-28,47.6696988986769,1997-05-02,54.0955666440789,2017-12-16,74.7202201277234,CON
Tony Blair,1953-05-06,1997-05-02,43.9899518812843,2007-06-27,54.1421110631977,2017-12-16,64.6146053649288,LAB
Gordon Brown,1951-02-20,2007-06-27,56.3488641108305,2010-05-11,59.2209285611614,2017-12-16,66.8213584125615,LAB
David Cameron,1966-10-09,2010-05-11,43.587479551257,2016-07-13,49.7614598520161,2017-12-16,51.1879094026571,CON
Theresa May,1956-10-01,2016-07-13,59.7821994975941,2017-12-16,61.2086490482351,2017-12-16,61.2086490482351,CON
